record_id,redacted_data_json,is_pii
1,"{""customer_id"": ""CUST001"", ""phone"": ""[REDACTED_PHONE]"", ""order_value"": 1299}",TRUE
2,"{""name"": ""RXXXXX KXXXX"", ""email"": ""raXXXXXXXXXX@email.com"", ""city"": ""Mumbai""}",TRUE
3,"{""first_name"": ""Priya"", ""product"": ""iPhone 14"", ""category"": ""Electronics""}",FALSE
4,"{""aadhar"": ""[REDACTED_AADHAR]"", ""transaction_type"": ""purchase""}",TRUE
5,"{""email"": ""standalone@email.com"", ""product_id"": ""PROD123""}",FALSE
6,"{""name"": ""AXXX SXXXX"", ""address"": ""123 MG Road, Bangalore, 560001"", ""ip_address"": ""192.168.1.XXX""}",TRUE
7,"{""city"": ""Delhi"", ""pin_code"": ""110001"", ""product_category"": ""Fashion""}",FALSE
8,"{""upi_id"": ""usXXXXX@paytm"", ""amount"": 500}",TRUE
9,"{""last_name"": ""Sharma"", ""order_id"": ""ORD789456""}",FALSE
10,"{""passport"": ""[REDACTED_PASSPORT]"", ""booking_reference"": ""BK123""}",TRUE
11,"{""device_id"": ""DEV456789"", ""app_version"": ""2.1.4""}",FALSE
12,"{""name"": ""SXXXX PXXXX"", ""email"": ""snXXXXXXXXX@gmail.com"", ""device_id"": ""[REDACTED_DEVICE_ID]""}",TRUE
13,"{""transaction_id"": ""TXN987654"", ""amount"": 2500, ""status"": ""completed""}",FALSE
14,"{""phone"": ""[REDACTED_PHONE]"", ""order_date"": ""2024-01-15""}",TRUE
15,"{""state"": ""Maharashtra"", ""product_name"": ""Laptop Bag""}",FALSE
16,"{""name"": ""VXXXXX RXXXX"", ""address"": ""456 Brigade Road, Bengaluru, 560025"", ""email"": ""viXXXX@company.com""}",TRUE
17,"{""first_name"": ""Anita"", ""last_name_initial"": ""K"", ""age"": 28}",FALSE
18,"{""aadhar"": ""[REDACTED_AADHAR]"", ""verification_status"": ""verified""}",TRUE
19,"{""email"": ""customer@service.com"", ""query_type"": ""refund""}",FALSE
20,"{""upi_id"": ""91XXXXXXXX@ybl"", ""merchant"": ""Flipkart""}",TRUE
21,"{""product_description"": ""Samsung Galaxy S23"", ""price"": 65000}",FALSE
22,"{""name"": ""DXXXXXX AXXXXXX"", ""phone"": ""[REDACTED_PHONE]"", ""email"": ""deXXXXX@email.com""}",TRUE
23,"{""pin_code"": ""400001"", ""delivery_date"": ""2024-02-10""}",FALSE
24,"{""passport"": ""[REDACTED_PASSPORT]"", ""travel_date"": ""2024-03-15""}",TRUE
25,"{""customer_segment"": ""Premium"", ""loyalty_points"": 1500}",FALSE
26,"{""name"": ""RXXX GXXXX"", ""address"": ""789 Park Street, Kolkata, 700016"", ""ip_address"": ""10.0.0.XXX""}",TRUE
27,"{""order_type"": ""Express"", ""shipping_method"": ""same_day""}",FALSE
28,"{""phone"": ""[REDACTED_PHONE]"", ""sms_consent"": true}",TRUE
